# param=dtau0 z=3.6 tol=0.25 log_space=True source=results/single_z_stage9/refit/z3.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.0032121344,0.0029319766100918687,2.6902474149764273e-06,48,True,True
19,0.0032214997,0.0026151174303662983,2.6973811916739056e-06,48,True,True
17,0.0032303822,0.0031317181122237914,2.6912786011299714e-06,48,True,True
15,0.0053296173,0.008476415068463805,3.0310421608999703e-06,48,True,True
13,0.005621779,0.008749027026295597,2.7398169912634534e-06,48,True,True
11,0.0070101377,0.00739864908653276,3.859712775615352e-06,48,True,True
10,0.0186182,0.004921925295906238,1.1381368133198084e-05,48,True,True
9,0.027853487,0.013768902806966354,2.2686950773449696e-05,48,True,True
8,0.039612263,0.004827283668595195,7.209887614839166e-05,48,True,True
7,0.06072206,0.01331309572821826,9.595215378294336e-05,48,True,True
5,0.09201025,0.006628722903158746,6.7644693398982e-05,48,True,True
3,5.021664,0.01822072861079871,0.007980916934005431,48,True,True
2,21.122545,0.42268443245569565,0.008996427702659415,48,False,True
1,31.012114,0.696250371297568,0.0033326679822469276,48,False,True
